,Unnamed: 0,Academy_Name,Class_Names,Day_1,Day_2,Time_1,Time_2,Genre,Link,Place,Contact,NumOfClass,District,Img
15,15,Def_Dance,Newest K-pop Basics,Weekends,SAT.SUN,Night,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
16,16,Def_Dance,HipHop Basics,Weekends,SAT.SUN,Night,pm 7:30 ~ 9:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
17,17,Def_Dance,HipHop Basics,WeekDays,MON.WED.FRI,Afternoon,pm 1:30 ~ 3:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
18,18,Def_Dance,Girls Professional Class,WeekDays,MON.WED.FRI,Afternoon,pm 3:00 ~ 4:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
19,19,Def_Dance,Newest K-pop Basics,WeekDays,MON.WED.FRI,Afternoon,pm 4:30 ~ 6:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
20,20,Def_Dance,IDOL Professional Class,WeekDays,MON.WED.FRI,Night,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
21,21,Def_Dance,Girls HipHop Basics,WeekDays,MON.WED.FRI,Night,pm 7:30 ~ 9:00,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
22,22,Def_Dance,Girls HipHop Basics,WeekDays,MON.WED.FRI,Night,pm 9:00 ~ 10:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,3,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
23,23,Def_Dance,HipHop Basics,WeekDay,TUE.THU ,Afternoon,pm 1:30 ~ 3:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
24,24,Def_Dance,Girls HipHop Basics,WeekDay,TUE.THU ,Afternoon,pm 3:00 ~ 4:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
25,25,Def_Dance,Girls HipHop Basics,WeekDay,TUE.THU ,Afternoon,pm 4:30 ~ 6:00,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
26,26,Def_Dance,IDOL Class,WeekDay,TUE.THU ,Night,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
27,27,Def_Dance,Newest K-pop Basics,WeekDay,TUE.THU ,Night,pm 7:30 ~ 9:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
28,28,Def_Dance,HipHop Basics,WeekDay,TUE.THU ,Night,pm 9:00 ~ 10:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
29,29,Def_Dance,Girls IDOL Class Class for ladies!,Weekends,SAT.SUN,Afternoon,pm 1:30 ~ 3:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
30,30,Def_Dance,Girls K-pop Basics,Weekends,SAT.SUN,Afternoon,pm 3:00 ~ 4:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
31,31,Def_Dance,Girls HipHop Basics,Weekends,SAT.SUN,Afternoon,pm 4:30 ~ 6:00,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
32,32,Def_Dance,Girls HipHop Basics,Weekends,SAT.SUN,Night,pm 6:00 ~ 7:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
33,33,Def_Dance,B-BOY Basics,Weekends,SAT.SUN,Night,pm 7:30 ~ 9:00,Breaking,https://www.defcompany.com/defdance/sub_dance_01_01.html,°­³²º»Á¡ : ¼­¿ïÆ¯º°½Ã °­³²±¸ ¿ª»ï·Î65±æ 25,¡á CONTACT: (02)557-2805/ 562-2805,2,Gangnam,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
34,34,Def_Dance,HipHop Basics,WeekDay,MON.WED.FRI,Afternoon,pm 1:30 ~ 3:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
35,35,Def_Dance,Girls K-pop Basics,WeekDay,MON.WED.FRI,Afternoon,pm 3:00 ~ 4:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
36,36,Def_Dance,IDOL BASIC CLASS,WeekDay,MON.WED.FRI,Afternoon,pm 4:30 ~ 6:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
37,37,Def_Dance,IDOL Class,WeekDay,MON.WED.FRI,Night,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
38,38,Def_Dance,Girls K-pop Basics,WeekDay,MON.WED.FRI,Night,pm 7:30 ~ 9:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
39,39,Def_Dance,HipHop Basics,WeekDay,MON.WED.FRI,Night,pm 9:00 ~ 10:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
40,40,Def_Dance,Master Class,WeekDay,TUE.THU,Afternoon,pm 1:30 ~ 3:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
41,41,Def_Dance,Girls HipHop Basics,WeekDay,TUE.THU,Afternoon,pm 3:00 ~ 4:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
42,42,Def_Dance,Girls K-pop Basics,WeekDay,TUE.THU,Afternoon,pm 4:30 ~ 6:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
43,43,Def_Dance,HipHop Basics,WeekDay,TUE.THU,Night,pm 6:00 ~ 7:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
44,44,Def_Dance,Girls HipHop Basics,WeekDay,TUE.THU,Night,pm 7:30 ~ 9:00,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
45,45,Def_Dance,Master Class,WeekDay,TUE.THU,Night,pm 9:00 ~ 10:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
46,46,Def_Dance,IDOL Class,Weekends,SAT.SUN,Afternoon,pm 1:30 ~ 3:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
47,47,Def_Dance,HipHop Basics,Weekends,SAT.SUN,Afternoon,pm 3:00 ~ 4:30,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
48,48,Def_Dance,B-BOY Basics,Weekends,SAT.SUN,Afternoon,pm 4:30 ~ 6:00,Breaking,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
49,49,Def_Dance,Girls K-pop Basics,Weekends,SAT.SUN,Night,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
50,50,Def_Dance,Girls HipHop Basics,Weekends,SAT.SUN,Night,pm 7:30 ~ 9:00,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
51,51,Def_Dance,Girls HipHop Basics,WeekDays,MON.WED.FRI,Afternoon,pm 3:00 ~ 4:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
52,52,Def_Dance,HipHop Basics,WeekDays,MON.WED.FRI,Afternoon,pm 4:30 ~ 6:00,Hip-Hop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
53,53,Def_Dance,IDOL BASIC CLASS,WeekDays,MON.WED.FRI,Afternoon,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
54,54,Def_Dance,Newest K-pop Basics,WeekDays,MON.WED.FRI,Night,pm 7:30 ~ 9:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
55,55,Def_Dance,Girls HipHop Basics,WeekDays,MON.WED.FRI,Night,pm 9:00 ~ 10:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,3,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
56,56,Def_Dance,Girls K-pop Basics,WeekDay,TUE.THU,Afternoon,pm 3:00 ~ 4:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
57,57,Def_Dance,IDOL BASIC CLASS,WeekDay,TUE.THU,Afternoon,pm 4:30 ~ 6:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
58,58,Def_Dance,IDOL CLASS,WeekDay,TUE.THU,Night,pm 6:00 ~ 7:30,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
59,59,Def_Dance,Newest K-pop Basics,WeekDay,TUE.THU,Night,pm 7:30 ~ 9:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
60,60,Def_Dance,Girls HipHop Basics,WeekDay,TUE.THU,,pm 9:00 ~ 10:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
61,61,Def_Dance,IDOL BASIC CLASS,Weekends,SAT.SUN,Afternoon,pm 1:00 ~ 3:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
62,62,Def_Dance,IDOL BASIC CLASS,Weekends,SAT.SUN,Afternoon,pm 1:00 ~ 3:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
63,63,Def_Dance,Girls HipHop Basics,Weekends,SAT.SUN,Afternoon,pm 3:00 ~ 4:30,Girls-HipHop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
64,64,Def_Dance,IDOL BASIC CLASS,Weekends,SAT.SUN,Night,pm 4:30 ~ 6:00,K-Pop,https://www.defcompany.com/defdance/sub_dance_01_02.html,¿µµîÆ÷Á¡ : ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¼±À¯·Î47±æ 16,¡á CONTACT : (02)852-4933,2,Yeongdeungpo,https://www.defcompany.com/defdance/left_banner/def-menu-top2019.png
